OSCNETPLUS Image Quality Evaluation
Date: 2025-03-14 12:24:17
Results Directory: /home/mcosta/PycharmProjects/OSCNet/OSCNet/save_results

Filename                         PSNR        SSIM
--------------------------------------------------
1.png                           42.31      0.9886
10.png                          38.22      0.9898
100.png                         44.15      0.9887
1000.png                        44.43      0.9926
1001.png                        37.30      0.9910
1002.png                        33.79      0.9765
1003.png                        30.41      0.9798
1004.png                        41.30      0.9924
1005.png                        39.01      0.9931
1006.png                        43.64      0.9929
1007.png                        37.37      0.9846
1008.png                        38.53      0.9779
1009.png                        42.13      0.9907
101.png                         38.95      0.9915
1010.png                        37.60      0.9901
1011.png                        38.32      0.9879
1012.png                        33.53      0.9736
1013.png                        37.91      0.9828
1014.png                        33.29      0.9873
1015.png                        33.56      0.9888
1016.png                        33.56      0.9879
1017.png                        33.81      0.9822
1018.png                        34.38      0.9771
1019.png                        33.73      0.9856
102.png                         32.27      0.9746
1020.png                        33.29      0.9863
1021.png                        34.20      0.9883
1022.png                        34.90      0.9758
1023.png                        34.35      0.9811
1024.png                        39.54      0.9907
1025.png                        35.35      0.9909
1026.png                        36.64      0.9901
1027.png                        34.13      0.9831
1028.png                        35.71      0.9790
1029.png                        37.42      0.9891
103.png                         37.90      0.9826
1030.png                        37.69      0.9899
1031.png                        39.91      0.9867
1032.png                        33.49      0.9719
1033.png                        36.59      0.9795
1034.png                        43.20      0.9895
1035.png                        42.58      0.9904
1036.png                        41.70      0.9900
1037.png                        37.42      0.9796
1038.png                        32.66      0.9693
1039.png                        42.06      0.9879
104.png                         42.39      0.9919
1040.png                        41.82      0.9884
1041.png                        42.83      0.9882
1042.png                        34.05      0.9728
1043.png                        37.09      0.9800
1044.png                        43.02      0.9894
1045.png                        41.51      0.9901
1046.png                        44.49      0.9912
1047.png                        37.58      0.9820
1048.png                        34.48      0.9694
1049.png                        43.25      0.9884
105.png                         44.22      0.9934
1050.png                        43.24      0.9892
1051.png                        45.11      0.9886
1052.png                        35.53      0.9745
1053.png                        39.45      0.9820
1054.png                        45.86      0.9901
1055.png                        46.49      0.9912
1056.png                        47.27      0.9916
1057.png                        40.94      0.9839
1058.png                        37.78      0.9723
1059.png                        46.29      0.9897
106.png                         44.01      0.9930
1060.png                        45.96      0.9895
1061.png                        43.28      0.9878
1062.png                        34.65      0.9737
1063.png                        38.58      0.9807
1064.png                        46.46      0.9906
1065.png                        44.69      0.9902
1066.png                        47.61      0.9918
1067.png                        41.58      0.9824
1068.png                        37.40      0.9727
1069.png                        44.99      0.9887
107.png                         37.46      0.9859
1070.png                        45.11      0.9893
1071.png                        40.81      0.9884
1072.png                        32.54      0.9726
1073.png                        36.38      0.9809
1074.png                        43.44      0.9912
1075.png                        43.70      0.9916
1076.png                        40.37      0.9917
1077.png                        38.55      0.9818
1078.png                        34.15      0.9696
1079.png                        40.41      0.9890
108.png                         38.39      0.9808
1080.png                        43.86      0.9904
1081.png                        40.59      0.9860
1082.png                        33.93      0.9705
1083.png                        36.68      0.9784
1084.png                        41.72      0.9885
1085.png                        40.30      0.9891
1086.png                        41.94      0.9900
1087.png                        39.11      0.9808
1088.png                        34.69      0.9674
1089.png                        41.06      0.9867
109.png                         40.32      0.9908
1090.png                        40.39      0.9878
1091.png                        36.38      0.9909
1092.png                        34.40      0.9775
1093.png                        35.96      0.9853
1094.png                        43.37      0.9931
1095.png                        45.66      0.9946
1096.png                        38.47      0.9933
1097.png                        36.16      0.9854
1098.png                        36.82      0.9821
1099.png                        38.37      0.9907
11.png                          43.31      0.9880
110.png                         40.69      0.9901
1100.png                        39.87      0.9920
1101.png                        41.98      0.9878
1102.png                        35.52      0.9750
1103.png                        37.25      0.9818
1104.png                        45.58      0.9886
1105.png                        46.96      0.9910
1106.png                        46.81      0.9906
1107.png                        42.58      0.9828
1108.png                        38.67      0.9732
1109.png                        44.17      0.9876
111.png                         36.22      0.9882
1110.png                        43.78      0.9858
1111.png                        42.13      0.9915
1112.png                        33.69      0.9774
1113.png                        38.00      0.9852
1114.png                        47.57      0.9930
1115.png                        48.54      0.9938
1116.png                        48.20      0.9940
1117.png                        43.30      0.9868
1118.png                        38.31      0.9781
1119.png                        44.10      0.9911
112.png                         31.69      0.9765
1120.png                        44.80      0.9920
1121.png                        45.14      0.9923
1122.png                        33.11      0.9775
1123.png                        38.17      0.9844
1124.png                        47.41      0.9926
1125.png                        48.11      0.9941
1126.png                        48.32      0.9943
1127.png                        42.83      0.9865
1128.png                        37.30      0.9769
1129.png                        43.21      0.9899
113.png                         31.33      0.9796
1130.png                        44.65      0.9908
1131.png                        38.38      0.9894
1132.png                        29.51      0.9721
1133.png                        33.38      0.9811
1134.png                        44.51      0.9916
1135.png                        44.97      0.9927
1136.png                        45.49      0.9921
1137.png                        39.91      0.9838
1138.png                        37.03      0.9733
1139.png                        44.73      0.9907
114.png                         40.42      0.9906
1140.png                        43.86      0.9902
1141.png                        38.27      0.9882
1142.png                        27.41      0.9664
1143.png                        29.01      0.9754
1144.png                        45.14      0.9914
1145.png                        46.20      0.9923
1146.png                        45.27      0.9915
1147.png                        38.26      0.9831
1148.png                        35.14      0.9719
1149.png                        44.34      0.9899
115.png                         40.49      0.9918
1150.png                        43.76      0.9907
1151.png                        40.90      0.9901
1152.png                        32.14      0.9770
1153.png                        37.21      0.9846
1154.png                        43.33      0.9926
1155.png                        44.23      0.9933
1156.png                        43.84      0.9940
1157.png                        36.23      0.9836
1158.png                        35.28      0.9756
1159.png                        38.94      0.9894
116.png                         41.95      0.9924
1160.png                        43.56      0.9917
1161.png                        40.00      0.9918
1162.png                        30.67      0.9739
1163.png                        36.16      0.9834
1164.png                        38.05      0.9924
1165.png                        37.10      0.9932
1166.png                        39.19      0.9930
1167.png                        35.32      0.9843
1168.png                        36.38      0.9781
1169.png                        39.11      0.9920
117.png                         37.94      0.9819
1170.png                        39.84      0.9919
1171.png                        38.01      0.9914
1172.png                        34.35      0.9769
1173.png                        35.95      0.9821
1174.png                        37.68      0.9916
1175.png                        37.44      0.9932
1176.png                        38.04      0.9930
1177.png                        37.90      0.9868
1178.png                        34.73      0.9776
1179.png                        37.52      0.9891
118.png                         36.43      0.9730
1180.png                        38.25      0.9909
1181.png                        39.69      0.9912
1182.png                        35.44      0.9803
1183.png                        34.99      0.9835
1184.png                        44.23      0.9927
1185.png                        45.82      0.9933
1186.png                        46.48      0.9942
1187.png                        39.97      0.9854
1188.png                        34.24      0.9742
1189.png                        42.47      0.9914
119.png                         39.73      0.9885
1190.png                        44.66      0.9920
1191.png                        44.53      0.9915
1192.png                        32.72      0.9776
1193.png                        34.48      0.9831
1194.png                        44.40      0.9923
1195.png                        46.72      0.9936
1196.png                        46.09      0.9932
1197.png                        39.50      0.9857
1198.png                        34.81      0.9763
1199.png                        43.33      0.9901
12.png                          35.68      0.9729
120.png                         40.00      0.9891
1200.png                        47.31      0.9925
1201.png                        45.24      0.9939
1202.png                        34.44      0.9807
1203.png                        37.25      0.9866
1204.png                        47.98      0.9944
1205.png                        48.79      0.9958
1206.png                        46.44      0.9947
1207.png                        41.61      0.9888
1208.png                        38.87      0.9822
1209.png                        41.80      0.9915
121.png                         42.90      0.9888
1210.png                        45.76      0.9934
1211.png                        45.81      0.9904
1212.png                        36.23      0.9776
1213.png                        38.55      0.9815
1214.png                        47.54      0.9924
1215.png                        43.94      0.9921
1216.png                        46.43      0.9930
1217.png                        39.67      0.9845
1218.png                        38.61      0.9781
1219.png                        40.07      0.9884
122.png                         33.53      0.9754
1220.png                        41.24      0.9905
1221.png                        42.49      0.9916
1222.png                        33.36      0.9795
1223.png                        34.33      0.9827
1224.png                        45.50      0.9932
1225.png                        47.50      0.9942
1226.png                        47.39      0.9949
1227.png                        38.64      0.9856
1228.png                        34.36      0.9748
1229.png                        41.31      0.9910
123.png                         36.26      0.9817
1230.png                        42.82      0.9913
1231.png                        39.58      0.9908
1232.png                        33.41      0.9777
1233.png                        35.06      0.9837
1234.png                        43.23      0.9931
1235.png                        44.12      0.9940
1236.png                        43.31      0.9937
1237.png                        39.22      0.9853
1238.png                        35.68      0.9747
1239.png                        42.50      0.9907
124.png                         39.94      0.9901
1240.png                        45.15      0.9924
1241.png                        42.53      0.9917
1242.png                        33.15      0.9796
1243.png                        35.98      0.9859
1244.png                        44.16      0.9924
1245.png                        44.08      0.9943
1246.png                        45.40      0.9941
1247.png                        42.21      0.9869
1248.png                        38.78      0.9803
1249.png                        43.59      0.9909
125.png                         40.45      0.9912
1250.png                        43.87      0.9915
1251.png                        44.65      0.9922
1252.png                        33.48      0.9787
1253.png                        35.39      0.9834
1254.png                        44.18      0.9932
1255.png                        47.87      0.9942
1256.png                        46.35      0.9938
1257.png                        41.30      0.9861
1258.png                        33.94      0.9758
1259.png                        44.32      0.9920
126.png                         40.20      0.9917
1260.png                        43.59      0.9913
1261.png                        42.06      0.9909
1262.png                        33.75      0.9779
1263.png                        36.50      0.9849
1264.png                        42.14      0.9933
1265.png                        43.06      0.9946
1266.png                        43.70      0.9934
