OSCNet Image Quality Evaluation
Date: 2025-03-12 17:22:40
Results Directory: /home/mcosta/PycharmProjects/OSCNet/OSCNet/save_results

Filename                         PSNR        SSIM
--------------------------------------------------
1.png                           35.58      0.9874
10.png                          44.31      0.9903
100.png                         43.62      0.9882
1000.png                        45.91      0.9920
1001.png                        42.73      0.9909
1002.png                        35.28      0.9798
1003.png                        28.73      0.9780
1004.png                        47.18      0.9921
1005.png                        42.29      0.9915
1006.png                        48.12      0.9927
1007.png                        41.68      0.9869
1008.png                        39.62      0.9789
1009.png                        45.87      0.9901
101.png                         44.89      0.9917
1010.png                        43.84      0.9902
1011.png                        35.94      0.9877
1012.png                        33.13      0.9772
1013.png                        36.13      0.9833
1014.png                        37.30      0.9896
1015.png                        37.58      0.9894
1016.png                        38.18      0.9906
1017.png                        38.91      0.9865
1018.png                        40.03      0.9806
1019.png                        38.03      0.9883
102.png                         37.82      0.9798
1020.png                        37.86      0.9888
1021.png                        44.27      0.9903
1022.png                        37.82      0.9796
1023.png                        33.32      0.9811
1024.png                        48.03      0.9917
1025.png                        41.61      0.9907
1026.png                        44.25      0.9916
1027.png                        37.85      0.9867
1028.png                        40.98      0.9818
1029.png                        43.56      0.9896
103.png                         37.78      0.9836
1030.png                        45.46      0.9909
1031.png                        41.64      0.9871
1032.png                        36.00      0.9749
1033.png                        36.29      0.9804
1034.png                        43.66      0.9894
1035.png                        43.33      0.9900
1036.png                        45.33      0.9904
1037.png                        38.37      0.9810
1038.png                        33.67      0.9698
1039.png                        43.91      0.9879
104.png                         47.06      0.9924
1040.png                        44.29      0.9881
1041.png                        42.45      0.9885
1042.png                        36.14      0.9758
1043.png                        36.68      0.9802
1044.png                        45.23      0.9904
1045.png                        41.96      0.9907
1046.png                        45.91      0.9919
1047.png                        38.15      0.9832
1048.png                        34.85      0.9714
1049.png                        44.20      0.9889
105.png                         42.92      0.9928
1050.png                        44.47      0.9897
1051.png                        44.79      0.9890
1052.png                        37.23      0.9769
1053.png                        39.24      0.9835
1054.png                        46.23      0.9907
1055.png                        45.15      0.9909
1056.png                        47.56      0.9918
1057.png                        40.57      0.9850
1058.png                        36.91      0.9734
1059.png                        45.81      0.9897
106.png                         47.48      0.9928
1060.png                        45.71      0.9897
1061.png                        42.72      0.9883
1062.png                        35.61      0.9766
1063.png                        37.95      0.9824
1064.png                        46.81      0.9910
1065.png                        43.78      0.9901
1066.png                        47.77      0.9920
1067.png                        41.37      0.9836
1068.png                        36.70      0.9739
1069.png                        45.23      0.9892
107.png                         41.64      0.9888
1070.png                        45.28      0.9894
1071.png                        42.70      0.9888
1072.png                        34.84      0.9767
1073.png                        35.88      0.9818
1074.png                        45.16      0.9914
1075.png                        40.61      0.9902
1076.png                        44.30      0.9919
1077.png                        39.26      0.9830
1078.png                        34.12      0.9702
1079.png                        43.53      0.9894
108.png                         40.81      0.9825
1080.png                        45.12      0.9903
1081.png                        42.01      0.9865
1082.png                        36.09      0.9734
1083.png                        36.79      0.9795
1084.png                        43.98      0.9889
1085.png                        40.92      0.9883
1086.png                        46.42      0.9904
1087.png                        40.91      0.9824
1088.png                        34.70      0.9690
1089.png                        43.58      0.9870
109.png                         43.31      0.9914
1090.png                        44.14      0.9883
1091.png                        36.87      0.9909
1092.png                        32.54      0.9785
1093.png                        37.16      0.9857
1094.png                        49.01      0.9939
1095.png                        43.20      0.9930
1096.png                        49.15      0.9938
1097.png                        40.77      0.9877
1098.png                        41.07      0.9843
1099.png                        45.89      0.9912
11.png                          38.60      0.9873
110.png                         42.22      0.9897
1100.png                        47.39      0.9923
1101.png                        42.14      0.9882
1102.png                        36.55      0.9781
1103.png                        36.68      0.9826
1104.png                        45.88      0.9891
1105.png                        43.56      0.9901
1106.png                        47.28      0.9911
1107.png                        42.70      0.9848
1108.png                        38.30      0.9751
1109.png                        43.38      0.9869
111.png                         41.75      0.9894
1110.png                        44.01      0.9863
1111.png                        41.39      0.9915
1112.png                        34.61      0.9796
1113.png                        37.52      0.9859
1114.png                        47.29      0.9932
1115.png                        45.53      0.9927
1116.png                        47.95      0.9939
1117.png                        43.09      0.9879
1118.png                        37.81      0.9789
1119.png                        44.68      0.9914
112.png                         34.26      0.9785
1120.png                        43.39      0.9916
1121.png                        44.24      0.9921
1122.png                        35.42      0.9809
1123.png                        37.09      0.9852
1124.png                        47.13      0.9926
1125.png                        42.48      0.9924
1126.png                        47.92      0.9941
1127.png                        42.23      0.9874
1128.png                        36.89      0.9772
1129.png                        42.94      0.9898
113.png                         32.46      0.9817
1130.png                        43.45      0.9904
1131.png                        30.73      0.9836
1132.png                        32.37      0.9758
1133.png                        29.51      0.9768
1134.png                        40.44      0.9913
1135.png                        39.89      0.9914
1136.png                        44.69      0.9921
1137.png                        40.93      0.9856
1138.png                        38.13      0.9755
1139.png                        41.72      0.9902
114.png                         44.29      0.9915
1140.png                        41.89      0.9891
1141.png                        39.98      0.9892
1142.png                        33.16      0.9755
1143.png                        28.02      0.9729
1144.png                        42.95      0.9913
1145.png                        42.86      0.9908
1146.png                        42.05      0.9913
1147.png                        39.95      0.9849
1148.png                        36.22      0.9744
1149.png                        42.05      0.9894
115.png                         42.28      0.9909
1150.png                        44.53      0.9908
1151.png                        39.99      0.9897
1152.png                        32.93      0.9776
1153.png                        36.83      0.9850
1154.png                        45.66      0.9928
1155.png                        42.67      0.9917
1156.png                        46.53      0.9939
1157.png                        38.36      0.9856
1158.png                        35.60      0.9765
1159.png                        39.96      0.9891
116.png                         45.87      0.9929
1160.png                        44.61      0.9914
1161.png                        46.00      0.9919
1162.png                        35.57      0.9810
1163.png                        34.13      0.9830
1164.png                        46.22      0.9935
1165.png                        42.15      0.9925
1166.png                        48.36      0.9937
1167.png                        39.51      0.9867
1168.png                        38.34      0.9797
1169.png                        44.75      0.9927
117.png                         39.16      0.9838
1170.png                        44.69      0.9920
1171.png                        44.03      0.9916
1172.png                        38.30      0.9811
1173.png                        37.62      0.9831
1174.png                        45.93      0.9922
1175.png                        43.17      0.9921
1176.png                        45.01      0.9933
1177.png                        35.78      0.9856
1178.png                        29.95      0.9737
1179.png                        43.58      0.9898
118.png                         37.19      0.9744
1180.png                        45.73      0.9913
1181.png                        39.04      0.9911
1182.png                        34.58      0.9814
1183.png                        34.93      0.9837
1184.png                        41.48      0.9925
1185.png                        41.91      0.9921
1186.png                        40.68      0.9939
1187.png                        39.58      0.9863
1188.png                        34.47      0.9763
1189.png                        42.80      0.9917
119.png                         42.81      0.9898
1190.png                        41.45      0.9920
1191.png                        41.75      0.9913
1192.png                        36.91      0.9814
1193.png                        33.86      0.9838
1194.png                        44.45      0.9925
1195.png                        40.55      0.9921
1196.png                        45.60      0.9933
1197.png                        39.42      0.9869
1198.png                        35.63      0.9787
1199.png                        44.63      0.9906
12.png                          38.02      0.9755
120.png                         42.80      0.9896
1200.png                        43.39      0.9918
1201.png                        43.62      0.9934
1202.png                        34.71      0.9815
1203.png                        35.18      0.9849
1204.png                        46.65      0.9944
1205.png                        43.45      0.9938
1206.png                        46.65      0.9946
1207.png                        38.76      0.9887
1208.png                        37.32      0.9824
1209.png                        42.39      0.9917
121.png                         42.15      0.9885
1210.png                        44.12      0.9928
1211.png                        44.90      0.9905
1212.png                        37.63      0.9814
1213.png                        37.97      0.9824
1214.png                        47.00      0.9927
1215.png                        41.41      0.9905
1216.png                        47.73      0.9934
1217.png                        41.81      0.9872
1218.png                        39.82      0.9799
1219.png                        39.67      0.9888
122.png                         34.97      0.9767
1220.png                        40.15      0.9900
1221.png                        43.44      0.9916
1222.png                        34.33      0.9812
1223.png                        34.55      0.9836
1224.png                        45.85      0.9935
1225.png                        40.83      0.9923
1226.png                        46.53      0.9948
1227.png                        39.09      0.9864
1228.png                        35.17      0.9771
1229.png                        41.01      0.9908
123.png                         34.97      0.9814
1230.png                        42.78      0.9915
1231.png                        42.25      0.9908
1232.png                        35.53      0.9803
1233.png                        32.73      0.9829
1234.png                        44.83      0.9929
1235.png                        42.16      0.9919
1236.png                        48.22      0.9938
1237.png                        39.80      0.9862
1238.png                        36.68      0.9763
1239.png                        43.96      0.9906
124.png                         43.78      0.9900
1240.png                        41.34      0.9913
1241.png                        42.65      0.9917
1242.png                        35.33      0.9820
1243.png                        35.31      0.9857
1244.png                        42.28      0.9929
1245.png                        42.92      0.9933
1246.png                        44.42      0.9949
1247.png                        40.46      0.9882
1248.png                        36.25      0.9812
1249.png                        41.65      0.9919
125.png                         42.96      0.9899
1250.png                        40.06      0.9915
1251.png                        44.66      0.9920
1252.png                        36.19      0.9821
1253.png                        35.16      0.9849
1254.png                        43.47      0.9929
1255.png                        40.85      0.9918
1256.png                        47.30      0.9941
1257.png                        40.83      0.9872
1258.png                        33.76      0.9774
1259.png                        42.85      0.9909
126.png                         45.06      0.9915
1260.png                        44.42      0.9914
1261.png                        42.67      0.9914
1262.png                        35.71      0.9810
1263.png                        35.28      0.9855
1264.png                        46.14      0.9939
1265.png                        43.25      0.9933
1266.png                        46.53      0.9939
